temperature,pressure,vibration,current,rpm,running_hours,failure
66.3,8.59,2.61,15.82,2914,2024,0
68.91,8.95,3.06,14.82,2969,2226,0
58.82,8.03,1.51,19.54,2978,4745,0
58.4,8.44,1.5,20.41,2913,6425,0
67.61,7.81,2.22,13.68,2882,3663,0
66.48,8.34,0.95,21.68,2919,7295,1
66.25,8.51,1.93,17.98,2947,7258,1
66.73,8.16,1.16,18.58,2980,5309,0
61.6,8.32,3.02,15.06,2923,739,0
66.16,7.94,1.74,20.64,2967,7728,1
66.47,8.53,3.19,18.4,2863,1110,0
61.43,8.92,2.87,20.28,2955,2339,0
74.33,8.06,1.81,20.44,2938,4831,1
67.37,8.25,1.56,20.67,3013,7899,1
59.04,8.7,2.08,16.7,2893,728,0
68.28,8.98,2.14,17.58,2950,5508,0
60.13,7.9,2.41,16.78,2893,1255,0
68.94,8.43,1.73,19.79,2934,7374,1
70.79,8.61,2.65,18.67,2899,807,0
60.9,8.46,2.36,20.14,3019,7723,1
69.82,7.51,2.0,20.23,2939,1808,0
67.06,8.7,1.77,14.55,2944,3789,0
69.11,9.11,2.09,20.7,2949,1852,0
74.48,8.55,1.71,19.9,2916,3750,1
63.77,8.09,2.24,17.26,2982,6770,1
61.23,8.29,2.25,18.7,2969,6591,1
60.55,9.21,2.36,17.75,2978,3806,1
60.92,8.86,3.26,19.23,2913,1421,1
64.61,8.76,2.12,17.26,2984,5844,0
66.71,8.64,2.8,18.96,2981,1235,0
66.38,8.24,2.34,18.13,2943,3902,0
69.14,8.42,2.06,17.14,2977,4624,0
65.07,8.47,2.13,18.38,2958,6830,1
72.27,8.72,2.16,23.41,2902,6395,1
63.68,9.1,2.37,16.63,2945,4364,0
78.6,8.95,1.62,17.5,2936,6343,1
68.13,7.93,1.32,16.66,2953,2696,0
60.71,8.59,2.59,16.87,2981,4599,0
59.65,8.79,2.74,19.63,2901,3863,0
67.41,8.75,2.65,19.43,2937,3230,0
63.88,8.25,2.29,17.99,2925,4304,0
68.57,9.67,2.66,20.05,2927,4678,1
67.37,7.99,2.63,19.59,2925,1677,0
64.64,8.07,2.67,17.68,2952,2327,0
60.77,8.59,1.68,14.93,2966,5580,0
57.43,9.35,1.54,19.66,2960,1418,1
62.77,8.17,1.97,18.34,2956,3545,0
69.28,8.39,2.19,18.04,2969,975,0
66.07,8.93,2.05,17.07,3021,4252,0
58.77,8.49,1.07,19.49,2954,830,0
65.87,8.37,3.23,18.7,2981,848,1
66.93,8.73,2.04,17.53,2979,6559,1
60.58,8.61,2.3,15.55,3003,7973,1
65.77,8.91,2.95,20.14,2967,967,0
65.29,9.02,0.79,19.21,2925,7420,1
59.29,8.62,1.89,18.51,2959,2251,0
66.79,8.62,1.97,12.69,2958,1186,0
67.8,8.59,2.0,17.92,2974,7780,1
70.42,8.7,2.1,17.52,2924,4764,0
70.27,8.52,3.07,16.76,2988,7936,1
58.11,8.5,2.6,19.51,2950,2221,0
60.31,8.98,2.77,19.43,2975,2277,0
67.58,9.11,2.23,18.87,2959,3757,0
67.57,7.9,1.36,20.08,2954,7374,1
67.58,8.5,0.95,15.96,2957,1881,0
84.26,8.22,1.28,17.09,2970,5941,1
67.85,8.38,2.42,18.15,3009,753,0
70.68,8.66,2.22,16.76,2889,4756,0
69.77,8.77,2.07,19.45,2966,5441,0
68.26,8.46,1.98,16.96,2951,526,0
63.42,7.73,3.41,20.6,2945,6949,1
68.79,8.11,1.71,16.14,2879,3118,0
61.14,8.86,2.76,22.26,2967,2903,1
63.82,7.4,2.2,22.06,2946,1486,1
62.57,8.97,2.16,17.81,2925,2113,0
65.41,8.71,2.91,20.29,2951,4034,0
76.57,9.03,3.08,17.2,2941,1678,1
55.66,8.42,2.06,20.03,2898,3246,0
68.43,7.68,2.68,17.65,2953,1195,0
56.94,8.67,2.42,15.43,2967,7661,1
62.64,9.01,2.2,10.93,2934,6121,0
70.44,8.87,2.32,17.46,2958,4923,0
65.32,8.23,1.79,18.56,2953,7112,1
59.61,8.53,2.02,20.66,2981,6293,0
61.42,8.29,1.85,18.07,2947,3876,0
68.4,8.17,2.74,20.01,2974,2255,0
61.35,8.88,2.14,17.09,2941,5323,0
66.08,8.02,1.42,17.33,3009,1156,0
65.23,8.14,1.77,20.11,2937,4973,0
61.74,8.06,0.28,13.07,2929,1772,0
75.72,7.9,1.9,18.03,2947,2919,1
68.17,8.56,2.22,17.2,2928,7411,1
54.87,8.96,2.12,20.72,2913,6969,1
65.93,8.43,3.39,16.94,2972,4505,1
61.69,7.9,2.54,19.03,2858,5062,0
69.26,8.84,2.52,19.84,2928,1524,0
61.04,9.17,1.21,15.01,2910,7321,1
64.43,8.24,1.98,17.72,2954,3085,0
67.52,8.31,1.91,17.14,2884,7864,1
69.33,8.71,1.73,19.89,2966,2231,0
59.0,9.15,1.72,19.35,2970,6924,1
63.33,8.29,1.12,17.53,2901,6496,0
62.63,7.97,1.43,15.91,2956,1127,0
61.73,8.75,2.72,20.08,2965,3044,0
73.83,8.82,2.11,17.86,2978,6701,1
67.02,8.5,1.9,14.76,2906,7072,1
58.7,8.28,2.2,14.94,2902,6665,1
69.59,8.9,2.9,18.88,2995,6051,0
75.61,8.71,2.2,15.45,2925,768,1
70.16,8.19,2.52,21.72,2934,4554,1
57.4,8.52,1.69,16.13,2969,3156,0
62.58,7.96,1.83,18.0,2915,1932,0
71.33,8.77,2.41,18.32,2942,7941,1
61.46,8.4,3.34,16.54,2977,554,1
67.22,8.33,3.06,13.52,2907,6542,1
68.87,8.49,2.55,18.38,2935,4395,0
60.37,8.52,2.29,16.49,2916,7211,1
64.7,8.86,3.04,18.23,2927,4132,0
48.79,8.74,2.68,17.76,2986,2957,0
59.88,8.44,0.82,18.53,2992,1892,0
63.74,8.81,1.57,21.12,2958,5085,1
58.76,8.66,2.4,16.91,2966,2663,0
73.16,8.33,1.13,17.06,2965,2293,1
57.85,8.45,1.66,14.67,2930,7997,1
62.8,8.44,1.78,17.61,2957,6727,1
65.65,8.7,2.05,18.82,2911,2841,0
72.21,8.35,2.03,17.03,2921,7798,1
57.82,8.34,2.03,18.83,2947,3517,0
70.82,9.29,2.7,17.64,2918,966,1
65.05,8.88,2.04,15.4,2912,6510,1
60.09,8.2,1.97,18.62,2929,3012,0
67.31,8.73,1.39,17.59,2984,4703,0
66.0,8.55,2.81,18.25,2997,1064,0
62.0,8.66,1.8,16.87,2949,3999,0
65.35,8.55,1.55,16.69,2967,2930,0
63.07,8.98,2.33,18.31,2933,3338,0
65.57,8.64,1.74,17.54,2888,6159,0
68.31,8.48,1.88,21.45,2923,5966,1
72.93,8.92,2.36,19.6,2941,4755,1
58.81,8.59,2.0,19.09,2954,6873,1
75.67,8.55,3.59,17.65,2947,7871,1
55.24,8.63,2.16,13.95,2942,7175,1
64.24,8.46,2.57,16.38,2933,2937,0
67.94,8.5,1.03,16.71,2960,2294,0
66.4,8.27,1.68,17.45,2909,3574,0
61.89,8.2,1.55,17.93,2974,6410,0
63.96,8.1,1.63,19.31,2932,6972,1
62.53,7.94,2.45,18.55,3012,4628,0
62.05,8.15,2.82,20.32,2941,3479,0
69.25,8.43,2.41,17.38,2936,1331,0
66.79,8.54,2.06,18.51,2933,7039,1
61.54,8.39,1.82,18.69,2936,7345,1
69.5,7.56,2.87,18.49,2968,781,0
66.54,9.13,3.44,20.56,2949,7448,1
69.06,8.93,2.28,19.61,2980,3747,0
68.15,8.68,2.76,15.36,2964,4157,0
60.86,9.26,2.41,17.77,2951,4127,1
62.2,8.11,2.65,17.97,2961,638,0
68.74,9.26,1.5,22.3,2986,6598,1
68.05,8.11,1.91,17.34,2970,5048,0
64.9,8.6,2.44,16.04,2958,7947,1
65.59,7.99,2.93,18.88,2963,1750,0
71.39,8.51,1.71,18.99,2915,7247,1
62.04,8.65,0.98,17.85,3027,2897,0
67.74,8.44,1.9,17.56,2966,1030,0
63.99,8.79,2.81,19.9,2969,2233,0
63.91,8.54,1.25,16.29,2949,1835,0
70.49,8.29,1.49,17.32,2881,7972,1
69.13,8.27,2.29,16.96,2942,4202,0
69.07,8.82,2.13,20.19,2952,608,0
71.53,8.24,2.56,18.57,2925,1222,0
65.11,8.87,1.46,15.87,2925,998,0
68.41,8.99,2.01,16.07,2940,2604,0
63.45,7.83,2.92,21.75,2973,1618,1
66.62,8.95,1.48,20.17,2988,5229,0
64.35,9.32,3.09,19.68,2955,2015,1
65.48,8.6,1.56,18.02,2933,6398,0
67.98,8.74,2.71,21.02,2939,6578,1
60.91,8.91,1.98,15.79,2953,6897,1
75.46,8.39,1.51,19.51,2957,7492,1
59.97,8.57,1.9,17.11,2963,2692,0
58.93,7.97,2.53,17.5,2937,3330,0
70.79,8.56,2.2,19.45,2966,5561,0
68.96,8.7,2.87,17.71,2964,4017,0
68.12,8.71,3.06,17.13,2938,6811,1
68.14,8.93,1.49,17.01,2898,6782,1
64.94,8.19,1.45,14.03,2923,2925,0
60.51,8.29,1.42,19.53,2997,768,0
65.38,9.26,1.66,15.99,2899,836,1
61.61,8.44,2.86,21.72,2990,5647,1
69.88,8.58,2.54,17.42,2898,4324,0
64.26,8.47,1.87,20.62,2927,7109,1
60.87,8.17,2.19,14.38,2939,5775,0
63.39,9.15,3.04,19.46,3003,7587,1
67.06,8.29,3.34,19.98,2951,4010,1
62.18,8.05,2.36,20.61,2944,7683,1
60.89,8.32,0.6,14.94,2922,6423,0
66.22,7.7,2.38,16.59,2966,4324,0
66.22,8.24,2.76,19.15,2935,1691,0
62.47,8.11,2.33,18.3,2943,7559,1
62.64,8.75,2.64,18.59,2939,4826,0
66.16,8.23,2.41,17.28,2972,7246,1
57.76,8.86,1.46,21.1,2973,5851,1
57.96,9.06,1.67,23.22,2923,852,1
61.41,8.81,2.01,18.21,2931,3061,0
63.93,8.41,2.84,18.91,2928,704,0
66.55,8.56,1.74,18.11,2956,3829,0
72.38,7.89,2.47,20.57,2977,2286,1
69.29,8.45,2.38,19.66,2956,2931,0
64.2,8.16,3.15,15.87,2884,3928,0
64.9,8.78,2.17,16.77,2973,2872,0
59.99,9.53,1.15,15.98,2910,2617,1
64.91,8.7,2.59,23.39,2929,1061,1
63.56,7.7,3.48,19.27,2956,2387,1
66.61,8.36,2.63,16.81,2947,4771,0
60.86,8.55,1.73,16.65,2976,7154,1
67.6,8.53,1.55,19.61,2932,7819,1
72.66,8.21,1.63,19.81,2921,1220,1
64.46,8.6,3.4,19.6,2941,892,1
67.01,8.0,2.0,17.15,2979,744,0
68.45,8.12,1.8,18.61,2969,3693,0
62.99,8.76,2.1,18.22,2953,3739,0
66.12,8.09,2.01,16.13,2990,5531,0
65.06,8.72,3.14,16.15,2984,629,0
65.49,7.95,1.59,18.82,2974,7228,1
61.13,9.21,2.91,18.39,2915,4473,1
65.12,8.19,2.27,19.11,2973,2182,0
67.49,8.41,2.92,19.58,2944,5204,0
72.26,8.63,3.15,21.0,2938,3590,1
69.8,8.27,2.25,16.45,2930,5268,0
75.77,8.56,2.01,19.26,2945,6504,1
61.16,8.73,2.24,19.5,2931,5099,0
69.36,8.88,2.14,17.38,2955,5344,0
65.92,8.82,1.21,18.24,2945,2352,0
75.95,8.43,3.13,17.43,2957,3089,1
60.96,8.44,2.35,22.22,2967,7642,1
60.8,9.44,1.5,18.21,2941,5736,1
62.0,8.88,0.96,18.9,2928,7857,1
54.38,8.13,0.8,17.47,2890,2437,0
62.37,8.54,2.66,17.04,2973,5493,0
61.2,8.37,1.83,15.4,2952,6646,1
65.75,8.45,1.93,20.2,2945,1401,0
66.71,8.01,2.49,19.54,2985,1856,0
74.38,8.34,1.89,17.4,2911,1863,1
69.75,9.22,2.53,16.2,2952,6803,1
62.12,8.73,2.26,18.36,2921,1394,0
60.51,7.5,2.15,17.0,2970,5423,0
67.46,8.99,1.26,17.56,2883,3986,0
58.4,8.94,1.71,15.47,2974,4144,0
74.16,8.36,2.56,18.43,2973,7932,1
70.9,8.79,1.79,18.47,2922,6710,1
62.65,8.16,2.92,20.19,2952,2473,0
56.43,8.31,3.61,17.7,2923,1618,1
71.77,9.1,2.59,17.33,2963,2242,0
64.43,8.39,3.1,14.89,2975,7223,1
71.19,7.75,2.63,20.2,2920,4836,0
57.03,8.47,1.88,19.79,2911,3588,0
62.0,8.47,2.32,18.06,2983,3296,0
65.03,8.98,3.41,15.34,3008,6446,1
65.23,8.51,1.89,15.57,2965,2962,0
62.75,8.33,1.58,16.91,2967,2768,0
68.11,8.92,1.52,19.93,2940,5310,0
59.66,8.55,2.07,18.58,2955,7344,1
64.29,8.2,1.6,15.01,2961,7507,1
65.6,8.96,3.2,18.81,2945,5659,1
67.57,8.58,2.33,16.32,2990,7798,1
68.56,8.5,2.78,16.96,2955,7333,1
59.38,8.57,2.02,19.94,2959,7796,1
57.33,8.07,1.52,19.53,2945,2043,0
71.39,8.29,1.41,20.19,2948,2739,0
66.66,8.5,1.66,17.95,2987,924,0
61.26,8.42,2.41,19.77,2954,3003,0
72.76,9.01,2.51,16.83,2955,3358,1
65.58,8.59,2.56,17.48,2955,3796,0
70.9,8.84,1.31,17.35,2939,4301,0
65.34,8.5,2.2,18.05,2908,2037,0
75.3,8.92,1.58,15.43,2997,7842,1
73.78,8.66,2.44,17.55,2982,3887,1
63.76,8.51,2.49,20.9,2987,1700,0
69.86,8.49,1.5,15.81,2918,7760,1
68.23,8.12,2.78,15.34,2993,1794,0
71.84,8.7,3.6,15.5,3009,6640,1
60.18,8.48,2.7,23.32,2981,5488,1
68.43,8.3,2.1,18.93,2999,7249,1
70.29,8.94,2.01,17.46,2974,933,0
56.21,8.0,2.07,18.14,2925,3295,0
59.08,8.33,1.74,18.46,2965,2465,0
54.8,8.91,2.35,16.72,2919,6133,0
63.65,8.63,1.52,16.97,2932,7791,1
68.59,8.48,1.07,17.68,2959,7368,1
72.51,8.6,2.33,16.55,2955,1168,1
65.37,8.57,2.21,17.21,2964,2413,0
73.14,7.89,1.86,18.71,2896,7568,1
58.1,8.36,1.43,16.01,2945,6723,1
56.48,9.15,2.37,23.22,2966,4966,1
64.72,8.24,1.61,19.51,2972,1618,0
66.92,8.37,2.12,15.46,2974,5808,0
64.84,8.28,3.26,13.04,2958,5460,1
54.66,8.47,2.59,16.62,2939,4717,0
64.55,8.27,1.38,19.37,2965,5429,0
58.48,8.69,1.44,18.98,2941,3615,0
68.35,8.58,2.29,17.78,2977,2807,0
66.83,8.81,1.37,16.8,2963,3354,0
60.3,8.08,1.0,16.19,2948,7855,1
62.43,8.36,2.52,17.19,2927,7460,1
59.7,8.41,2.39,15.98,2984,6904,1
64.69,8.68,2.47,17.2,2967,4533,0
69.78,8.18,2.36,20.66,3013,5152,0
60.07,8.87,2.16,16.46,2966,7727,1
67.52,8.97,1.8,19.22,2968,1787,0
62.35,8.1,2.51,19.53,2906,2341,0
61.04,8.3,3.12,15.84,2959,5143,0
64.46,8.29,1.9,16.31,2941,2361,0
59.82,9.55,1.59,20.14,2975,3484,1
62.23,8.33,1.52,16.15,2960,5629,0
59.01,9.17,1.68,17.89,2980,1303,0
74.82,7.99,2.32,22.08,3014,2359,1
65.18,8.1,0.92,19.96,2926,4698,0
61.5,8.23,2.46,18.17,2978,3457,0
66.07,8.16,2.59,19.68,2971,7487,1
64.44,8.39,1.12,17.89,3009,5730,0
63.9,8.22,1.61,20.04,2971,7428,1
68.07,8.17,2.25,13.91,2968,5128,0
68.79,8.96,2.11,17.72,2976,1000,0
62.35,8.99,2.51,13.83,2978,1728,0
62.12,8.88,2.12,18.32,2994,596,0
63.62,8.71,2.96,17.53,2925,5417,0
53.49,8.54,2.01,20.72,2938,7040,1
57.42,8.3,1.61,19.42,3002,4384,0
71.83,8.12,1.56,16.95,2891,4138,0
73.22,8.65,2.64,17.19,2947,5157,1
63.75,8.03,2.22,18.76,2954,3043,0
67.88,8.1,2.58,16.85,2945,1887,0
66.56,8.96,2.57,17.94,2997,4507,0
80.39,9.26,0.99,20.63,2964,2804,1
70.6,8.66,1.52,16.34,2938,4800,0
64.36,8.94,1.59,17.1,2931,1865,0
60.22,8.4,1.71,17.39,2958,3046,0
56.97,7.96,1.95,24.32,2985,6592,1
66.02,8.74,2.8,19.22,2954,691,0
61.22,8.73,2.92,20.26,2946,2326,0
57.89,8.53,2.02,19.54,2929,5743,0
61.77,8.4,2.05,19.67,2961,7793,1
59.59,8.88,1.78,18.95,2960,6836,1
73.44,8.11,2.25,18.73,2928,6881,1
69.41,8.19,2.32,15.1,2981,5867,0
64.96,8.1,2.68,18.72,3001,6440,0
72.4,8.53,2.68,17.78,2951,724,1
65.39,8.06,0.82,19.09,2959,7856,1
60.69,8.23,2.11,17.86,2917,1272,0
72.62,8.22,3.03,19.53,2972,1745,1
67.69,8.4,1.94,19.88,2964,3512,0
59.81,7.91,2.88,12.18,2940,3166,0
64.05,8.53,2.02,17.13,2928,2124,0
60.62,9.0,2.3,14.29,3005,7757,1
58.09,8.55,1.52,18.48,2961,3974,0
69.63,9.12,1.54,17.4,2922,2495,0
74.55,9.03,2.64,20.71,2976,4652,1
58.01,8.81,2.73,18.41,2957,1019,0
67.81,8.53,2.22,17.03,2952,4029,0
61.75,8.51,1.46,19.88,2979,1925,0
62.56,8.81,2.23,17.36,2872,1372,0
62.04,8.34,2.95,17.0,2896,7038,1
60.68,7.75,3.25,18.79,2991,1457,1
65.24,8.7,2.01,21.23,2946,4753,1
60.85,8.05,1.2,19.71,2937,6770,1
66.35,8.12,2.7,19.13,2910,4088,0
64.75,8.5,2.03,23.5,2956,3531,1
63.81,8.46,2.77,16.54,2960,736,0
60.46,7.94,2.37,16.49,2993,4928,0
62.12,8.57,1.67,18.29,2961,7703,1
68.78,8.89,2.23,21.03,2941,5220,1
67.5,8.05,2.99,16.12,2962,3726,0
60.11,9.01,2.11,21.51,2983,2067,1
65.5,7.88,1.58,15.12,2977,1409,0
68.76,9.35,1.25,17.76,2969,2460,1
56.65,8.34,1.74,18.35,2958,6761,1
67.72,8.56,1.95,16.23,2933,5941,0
61.69,7.74,2.69,16.76,2919,4087,0
67.85,8.48,1.53,19.59,2914,3838,0
61.18,8.59,3.13,20.88,2962,1885,0
55.98,8.47,1.4,13.77,2965,7128,1
56.86,8.27,3.6,18.36,2983,1315,1
65.24,8.12,3.24,17.77,2967,5849,1
66.3,8.95,2.28,18.21,2982,2968,0
60.48,8.51,1.21,17.37,2946,6016,0
68.19,9.12,2.17,15.42,2973,4284,0
56.69,8.29,1.97,21.08,2920,1309,1
64.67,8.33,1.44,20.32,2948,7054,1
58.94,8.83,2.37,17.79,2895,821,0
61.74,7.85,1.71,17.02,2951,4898,0
65.24,8.01,1.77,16.78,2987,1343,0
60.7,8.94,2.08,12.83,2952,3071,0
63.08,8.03,1.86,18.71,2972,7094,1
70.03,7.77,3.45,19.56,2958,7181,1
62.12,9.25,1.88,18.28,2933,910,1
69.18,7.94,2.46,17.83,2944,4070,0
59.35,8.57,2.29,18.27,2985,6752,1
67.65,8.53,2.41,16.29,2972,7830,1
72.21,7.38,2.46,17.0,2931,7680,1
52.64,8.39,2.73,17.67,2908,5746,0
61.02,8.68,2.36,19.39,2956,7401,1
67.89,8.64,2.33,20.76,2933,1323,0
63.98,8.86,2.24,17.54,2945,3000,0
66.86,8.35,2.12,15.91,2906,6814,1
61.98,8.79,1.65,18.07,2981,6505,1
65.43,8.22,2.16,22.02,2947,7876,1
64.22,7.94,2.34,16.08,2952,3309,0
70.84,7.98,2.44,19.77,2925,2886,0
66.27,7.92,2.31,20.67,2942,2375,0
66.69,8.9,2.06,17.28,2954,4654,0
62.94,7.89,2.17,16.6,2932,6602,1
62.56,8.61,1.87,19.15,2944,5102,0
62.84,8.39,2.39,18.71,2992,3839,0
66.97,8.46,2.07,19.39,2897,3027,0
62.9,9.05,2.31,22.15,2956,1168,1
66.45,8.32,2.8,18.33,2926,4088,0
75.38,8.74,1.77,15.62,2990,7588,1
69.36,8.52,2.56,18.13,2945,3571,0
63.37,8.44,2.22,18.48,2919,7091,1
71.01,9.42,3.41,20.53,2944,3430,1
62.96,7.92,2.07,17.61,2960,6174,0
54.81,9.02,2.62,17.18,3033,2101,0
59.96,8.76,2.21,15.26,2887,5753,0
55.65,8.31,1.37,19.09,2914,712,0
63.24,9.15,1.89,24.7,2989,2646,1
65.09,7.76,2.73,17.55,2905,3842,0
73.38,8.29,1.94,18.9,2950,7301,1
66.63,8.02,0.87,16.9,2935,1572,0
63.9,8.66,2.18,15.44,2931,2722,0
69.15,8.05,1.54,18.87,2945,6133,0
53.94,8.67,2.28,18.06,2940,5496,0
66.18,8.43,3.13,13.23,2982,5400,0
68.85,8.31,2.66,21.22,2990,7132,1
57.61,8.66,3.12,18.83,2963,1529,0
70.72,8.39,1.86,18.15,2943,3101,0
66.69,8.06,2.11,17.16,2958,4590,0
62.92,9.62,1.57,18.81,2974,3878,1
